date,No,Yes,Total
2024-12-28,22223.0,14555.0,36778.0
2025-01-27,66440.0,16230.0,82670.0
2025-01-28,1723.0,4535.0,6258.0
2025-01-29,6848.0,66.0,6914.0
2025-01-30,20979.0,147.0,21126.0
2025-01-31,2237.0,7.0,2244.0
2025-02-01,435.0,24.0,459.0
2025-02-02,42.0,8.0,50.0
2025-02-03,3689.0,85.0,3774.0
2025-02-04,8410.0,948.0,9358.0
2025-02-05,12633.0,570.0,13203.0
2025-02-06,10029.0,41.0,10070.0
2025-02-07,5526.0,1409.0,6935.0
2025-02-08,3612.0,71.0,3683.0
2025-02-09,1850.0,120.0,1970.0
2025-02-10,11267.0,212.0,11479.0
2025-02-11,311.0,0.0,311.0
2025-02-12,6429.0,10.0,6439.0
2025-02-13,0.0,1050.0,1050.0
2025-02-14,682.0,2.0,684.0
2025-02-16,278.0,47.0,325.0
2025-02-17,265.0,0.0,265.0
2025-02-19,1880.0,147.0,2027.0
2025-02-21,52.0,20.0,72.0
2025-02-22,805.0,0.0,805.0
2025-02-23,495.0,0.0,495.0
2025-02-24,2856.0,0.0,2856.0
2025-02-25,0.0,322.0,322.0
